Title_amazon,Rank,Reviews,Review Count,Price,Genre,Manufacturer,Brand,Author_amazon,Number of Pages_amazon,Author_cleaned,source_URL,Readers Choice Votes,Readers Choice Category,Title_goodreads,Author_goodreads,Total Avg Rating,Number of Ratings,Number of Reviews,Number of Pages_goodreads,Edition,Book Description,First Published date,Kindle Version and Price,Kindle Price,About the Author,_merge
"Fourth Wing (The Empyrean, 1)",1,4.8,135916,18.69,Fantasy,Entangled: Red Tower Books,Macmillan,Rebecca Yarros,528.0,rebecca yarros,https://www.goodreads.com/book/show/127152907-in-the-likely-event?from_choice=true,8421.0,Romance,In the Likely Event,Rebecca Yarros,4.25,"61,109","5,158",348.0,Kindle Edition,"When Izzy Astor gets on a plane to go home, she isn’t expecting much. It’s the usual holiday travel experience: busy, crowded, stressful.Then she spots her seatmate, who is anything but ordinary. Nate Phelan sports dark hair, blue eyes, and a deliciously rugged charm that Izzy can’t resist. Their connection is undeniable. Izzy never believed in destiny before, but she does now.Just ninety seconds after takeoff, their plane goes down in the Missouri River.Their lives change. They change. Nate goes on to a career in the military while Izzy finds her way into politics. Despite a few chance encounters over the years, the timing never feels right.Then comes a high-stakes reunion in Afghanistan, where Nate is tasked with protecting Izzy’s life.He’ll do anything to keep her safe. And everything to win her heart.",1-Aug-23,Kindle Unlimited $0.00,0.0,"Rebecca Yarros is a hopeless romantic and coffee addict. She is the New York Times bestselling author of over twenty novels, including Fourth Wing, The Last Letter and The Things We Leave Unfinished. She’s also the recipient of the Colorado Romance Writer’s Award of Excellence for Eyes Turned Skyward. Rebecca loves military heroes and has been blissfully married to hers for over twenty years. A mother of six, she is currently surviving the teenage years with all four of her hockey-playing sons.Want to know about Rebecca’s next release? Check her out online at www.rebeccayarros.com.",both
"Fourth Wing (The Empyrean, 1)",1,4.8,135916,18.69,Fantasy,Entangled: Red Tower Books,Macmillan,Rebecca Yarros,528.0,rebecca yarros,https://www.goodreads.com/book/show/61431922-fourth-wing?from_choice=true,397565.0,Romantasy,Fourth Wing,Rebecca Yarros,4.62,"930,928","141,668",500.0,Hardcover,"Enter the brutal and elite world of a war college for dragon riders from USA Today bestselling author Rebecca YarrosTwenty-year-old Violet Sorrengail was supposed to enter the Scribe Quadrant, living a quiet life among books and history. Now, the commanding general—also known as her tough-as-talons mother—has ordered Violet to join the hundreds of candidates striving to become the elite of Navarre: dragon riders.But when you’re smaller than everyone else and your body is brittle, death is only a heartbeat away...because dragons don’t bond to “fragile” humans. They incinerate them.With fewer dragons willing to bond than cadets, most would kill Violet to better their own chances of success. The rest would kill her just for being her mother’s daughter—like Xaden Riorson, the most powerful and ruthless wingleader in the Riders Quadrant.She’ll need every edge her wits can give her just to see the next sunrise.Yet, with every day that passes, the war outside grows more deadly, the kingdom's protective wards are failing, and the death toll continues to rise. Even worse, Violet begins to suspect leadership is hiding a terrible secret.Friends, enemies, lovers. Everyone at Basgiath War College has an agenda—because once you enter, there are only two ways out: graduate or die",2-May-23,Kindle $14.99,14.99,"Rebecca Yarros is a hopeless romantic and coffee addict. She is the New York Times bestselling author of over twenty novels, including Fourth Wing, The Last Letter and The Things We Leave Unfinished. She’s also the recipient of the Colorado Romance Writer’s Award of Excellence for Eyes Turned Skyward. Rebecca loves military heroes and has been blissfully married to hers for over twenty years. A mother of six, she is currently surviving the teenage years with all four of her hockey-playing sons.Want to know about Rebecca’s next release? Check her out online at www.rebeccayarros.com.",both
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,2,4.8,120356,12.5,Personal Transformation,Avery,Avery,James Clear,320.0,james clear,,,,,,,,,,,,,,,,left_only
"Iron Flame (The Empyrean, 2)",3,4.7,79851,14.78,Epic,Entangled: Red Tower Books,Kiligry,Rebecca Yarros,640.0,rebecca yarros,https://www.goodreads.com/book/show/127152907-in-the-likely-event?from_choice=true,8421.0,Romance,In the Likely Event,Rebecca Yarros,4.25,"61,109","5,158",348.0,Kindle Edition,"When Izzy Astor gets on a plane to go home, she isn’t expecting much. It’s the usual holiday travel experience: busy, crowded, stressful.Then she spots her seatmate, who is anything but ordinary. Nate Phelan sports dark hair, blue eyes, and a deliciously rugged charm that Izzy can’t resist. Their connection is undeniable. Izzy never believed in destiny before, but she does now.Just ninety seconds after takeoff, their plane goes down in the Missouri River.Their lives change. They change. Nate goes on to a career in the military while Izzy finds her way into politics. Despite a few chance encounters over the years, the timing never feels right.Then comes a high-stakes reunion in Afghanistan, where Nate is tasked with protecting Izzy’s life.He’ll do anything to keep her safe. And everything to win her heart.",1-Aug-23,Kindle Unlimited $0.00,0.0,"Rebecca Yarros is a hopeless romantic and coffee addict. She is the New York Times bestselling author of over twenty novels, including Fourth Wing, The Last Letter and The Things We Leave Unfinished. She’s also the recipient of the Colorado Romance Writer’s Award of Excellence for Eyes Turned Skyward. Rebecca loves military heroes and has been blissfully married to hers for over twenty years. A mother of six, she is currently surviving the teenage years with all four of her hockey-playing sons.Want to know about Rebecca’s next release? Check her out online at www.rebeccayarros.com.",both
"Iron Flame (The Empyrean, 2)",3,4.7,79851,14.78,Epic,Entangled: Red Tower Books,Kiligry,Rebecca Yarros,640.0,rebecca yarros,https://www.goodreads.com/book/show/61431922-fourth-wing?from_choice=true,397565.0,Romantasy,Fourth Wing,Rebecca Yarros,4.62,"930,928","141,668",500.0,Hardcover,"Enter the brutal and elite world of a war college for dragon riders from USA Today bestselling author Rebecca YarrosTwenty-year-old Violet Sorrengail was supposed to enter the Scribe Quadrant, living a quiet life among books and history. Now, the commanding general—also known as her tough-as-talons mother—has ordered Violet to join the hundreds of candidates striving to become the elite of Navarre: dragon riders.But when you’re smaller than everyone else and your body is brittle, death is only a heartbeat away...because dragons don’t bond to “fragile” humans. They incinerate them.With fewer dragons willing to bond than cadets, most would kill Violet to better their own chances of success. The rest would kill her just for being her mother’s daughter—like Xaden Riorson, the most powerful and ruthless wingleader in the Riders Quadrant.She’ll need every edge her wits can give her just to see the next sunrise.Yet, with every day that passes, the war outside grows more deadly, the kingdom's protective wards are failing, and the death toll continues to rise. Even worse, Violet begins to suspect leadership is hiding a terrible secret.Friends, enemies, lovers. Everyone at Basgiath War College has an agenda—because once you enter, there are only two ways out: graduate or die",2-May-23,Kindle $14.99,14.99,"Rebecca Yarros is a hopeless romantic and coffee addict. She is the New York Times bestselling author of over twenty novels, including Fourth Wing, The Last Letter and The Things We Leave Unfinished. She’s also the recipient of the Colorado Romance Writer’s Award of Excellence for Eyes Turned Skyward. Rebecca loves military heroes and has been blissfully married to hers for over twenty years. A mother of six, she is currently surviving the teenage years with all four of her hockey-playing sons.Want to know about Rebecca’s next release? Check her out online at www.rebeccayarros.com.",both
"Dinner Tonight: 100 Simple, Healthy Recipes for Every Night of the Week (A Defined Dish Book)",4,4.1,6,26.0,Natural Foods,William Morrow Cookbooks,,Alex Snodgrass,256.0,alex snodgrass,,,,,,,,,,,,,,,,left_only
Oath and Honor: A Memoir and a Warning,5,4.8,3536,21.49,Political,"Little, Brown and Company",,Liz Cheney,384.0,liz cheney,,,,,,,,,,,,,,,,left_only
The Heaven & Earth Grocery Store: A Novel,6,4.5,15178,16.99,Jewish,Riverhead Books,,James McBride,400.0,james mcbride,https://www.goodreads.com/book/show/65678550-the-heaven-earth-grocery-store?from_choice=true,33221.0,Historical Fiction,The Heaven & Earth Grocery Store,James   McBride,4.23,"39,885","4,464",385.0,Hardcover,"The new novel from the bestselling, National Book Award-winning, Oprah Book Club-picked, Barack Obama favourite James McBride.In 1972, when workers in Pottstown, Pennsylvania, were digging the foundations for a new development, the last thing they expected to find was a skeleton at the bottom of a well. Who the skeleton was and how it got there were two of the long-held secrets kept by the residents of Chicken Hill, the dilapidated neighbourhood where immigrant Jews and African Americans lived side by side and shared ambitions and sorrows.As these characters' stories overlap and deepen, it becomes clear how much the people who live on the margins struggle and what they must do to survive. When the truth is finally revealed about what happened on Chicken Hill and the part the town's white establishment played in it, McBride shows us that even in dark times, it is love and community-heaven and earth-that sustain us.",8-Aug-23,Kindle $14.99,14.99,"James McBride is a native New Yorker and a graduate of  New York City public schools. He studied composition at The Oberlin Conservatory of Music in Ohio and received his Masters in Journalism from Columbia University in New York at age 22. He holds several honorary doctorates and is currently a Distinguished Writer in Residence at New York University.  He is married with three children. He lives in Pennsylvania and New York.  James McBride is a former staff writer for The Washington Post, People Magazine, and The Boston Globe. His work has also appeared in Essence, Rolling Stone, and The New York Times. His April, 2007 National Geographic story entitled “Hip Hop Planet” is considered a respected treatise on African American music and culture.As a musician, he has written songs (music and lyrics) for Anita Baker, Grover Washington Jr., and Gary Burton, among others. He served as a tenor saxophone sideman for jazz legend Little Jimmy Scott. He is the recipient of several awards for his work as a composer in musical theater including the Stephen Sondheim Award and the Richard Rodgers Foundation Horizon Award. His “Riffin’ and Pontificatin’ ” Tour, a nationwide tour of high schools and colleges promoting reading through jazz, was captured in a 2003 Comcast documentary. He has been featured on national radio and television programs in America, Europe, Australia and New Zealand. ---from his official website",both
Icebreaker: A Novel (The Maple Hills Series),7,4.4,61258,10.44,Contemporary,Atria,,Hannah Grace,448.0,hannah grace,https://www.goodreads.com/book/show/101145836-wildfire?from_choice=true,29205.0,Romance,Wildfire,Hannah  Grace,3.93,"100,378","13,529",400.0,Paperback,"The latest in the Maple Hills series follows two summer camp counselors who reconnect after a sizzling one-night stand.Maple Hills students Russ Callaghan and Aurora Roberts cross paths at a party celebrating the end of the academic year, where a drinking game results in them having a passionate one-night stand. Never one to overstay her welcome (or expect much from a man), Aurora slips away before Russ even has the chance to ask for her full name.Imagine their surprise when they bump into each other on the first day of the summer camp where they are both counselors, hoping to escape their complicated home lives by spending the summer working. Russ hopes if he gets far enough away from Maple Hills, he can avoid dealing with the repercussions of his father’s gambling addiction, while Aurora is tired of craving attention from everyone around her, and wants to go back to the last place she truly felt at home.Russ knows breaking the camp’s strict “no staff fraternizing” rule will have him heading back to Maple Hills before the summer is over, but unfortunately for him, Aurora has never been very good at caring about the rules. Will the two learn to peacefully coexist? Or did their one night together start a fire they can’t put out?",3-Oct-23,Kindle $10.99,10.99,,both
"Interesting Facts For Curious Minds: 1572 Random But Mind-Blowing Facts About History, Science, Pop Culture And Everything In Between",8,4.5,8072,12.48,Trivia & Fun Facts,Red Panda Press,SEAJEA,Jordan Moore,198.0,jordan moore,,,,,,,,,,,,,,,,left_only
